text,is_desc
"Scott-Elliot (1894) did not designate a type for Ancistrocladus barteri, but listed a set of syntypes.
As noted by Gereau (1997), Airy Shaw later (1950) re-evaluated A, barteri, restricting its circumscription and selecting a lectotype, Scott-Elliot 4860 from Sierra Leone. Scott-Elliot (1894: 74) specifically listed under his A, barteri the Nigerian specimen Barter 1699, whose identity has been controversial, Airy Shaw later (1949) identified this as A.
guineensis, Keay (1954) subsequently included it in A, newly described A.",0
"This was the only Barter collection included by Scott-Elliot in this eponymous species, but Airy Shaw explicitly excluded this Barter collection from his circumscription of A, barteri without explanation. However, there are no nomenclatural grounds on which to overturn Airy Shaw’s decision.
Separately Tieghem (1903; 154) stated that Barter 1699 had characters that distinguished it from all other Ancistrocladaceae, and gave it the provisional name “Ancistrocladus barteri Tiegh.” He explained his conclusion as follows: “C’est done au bien, tout au moins, une espéce autonome, que je nommerai pour le moment A. de Barter (A. Barteri v.L.).” In the same article, Tieghem (1903: 155) also published the new genus Ancistrella Tiegh. with the single species Ancistrella barteri Tiegh., based on Barter 1699, and asserted that this second name was the one he intended to accept: “. . . on est conduit a regarder cette plante comme le type d’un genre nouveau, que je nommerai Ancistrelle (Ancistrella y.T.). Ce sera désormais l’Ancistrelle de Barter (Ancistrella Barteri v.T.).” Tieghem (1903) analyzed the leaf anatomy of Ancistrella barteri in great detail and must have derived his anatomical material from the specimen Barter 1699, which was distributed to P apparently with Scott-Elliott’s name on it. In any case Tieghem, with his particular interest in Ancistrocladus, was probably aware of the publication of Scott-Elliot’s name. Unfortunately, Tieghem (1903) was not always clear or conventional in his use of taxonomic nomenclature, so his intent is not entirely clear here. However, his use of his own initials with these names seems to indicate that his intent was indeed to separate these names from Scott-Elliot’s usage. Therefore, Tieghem’s work cannot be interpreted as a lectotypification of Scott-Elliot’s name, and the names Ancistrocladus barteri Scott-Elliot and Ancistrella barteri Tiegh. are heterotypic and independent due to the lectotypification of Ancistrocladus barteri by Airy Shaw (1950).",0
"As circumscribed here, Ancistrocladus barteri is variable in leaf size and shape, inflorescence size, petal size, and filament length. However, the specimens included here are linked by a continuous range of variation in these features, as discussed below. In particular, the variation in leaf form can be generally separated into several rather wellmarked groups. One group is characterized by relatively small, elliptic to obovate leaves that are obtuse to rounded at the apex and contracted in the basal portion to a narrowed, pseudopetiolate structure; specimens with such leaves have petals 6-8 mm long and the longer filaments ca. 2 mm long (these measurements are based on three flowering collections, apparently representing three plants).
A second group is characterized by its often larger, oblanceolate leaves that are acute to acuminate at the apex and uniformly narrowed to an acute base; specimens with such leaves have petals 6-11 mm long and the longer filaments ca. 4 mm long (these measurements are based on six flowering collections, representing five plants). The shortest of these petal measurements, 6 mm, is found on the type of A, barteri, which has relatively long narrow leaves with shortly acuminate apices.",0
"See glands, its generally well-developed pedicels, and its inflorescence bracts that are relatively small, clustered at the apices of the axes near the flower buds, apparently caducous at anthesis, and sometimes eglandular. In contrast, these other two species have outer sepals that usually have | or 2 abaxial glands, pedicels 0-3 mm long; and bracts that are often well-developed, borne regularly along all the axes, and generally persistent and usually have well-developed abaxial glands.",0
"The name Ancistrocladus wallichii has been frequently used for this species (e.g., Helfer 720, distributed under this name to at least three institutions; see Dagar & Singh, 1999), However, the type specimens of A. wallichii cannot be identified with certainty, and this name is here considered of dubious identity and discussed in that section, below.",0
"Juvenile plants unbranched or — sparingly branched saplings to 3m high. Juvenile leaves unknown, Adult stems climbing to 15 m high, main stems to 5 cm diam., with bark brown to purplebrown, smooth or with small shallow fissures, bearing some scattered leaves and also lateral branchlets to 25 cm long, these each bearing | to several hooks and sometimes a terminal rosette of leaves: hooks recurved to spiraling, 9-24 mm diam. Adult leaves drying chartaceous to coriaceous, on both surfaces dull to shiny, in life not seen, when dry usually somewhat discolorous, dark brown above, lighter brown below, or sometimes concolorous and gray-lan on both sides: pits dimorphic, small pits sparsely scattered on abaxial surface, sparsely distributed and concentrated near midrib and margins on adaxial surface, large pits 0.3-1.0 mm diam., circular to oval, rare on both surfaces; midrib adaxlally plane to shallowly sulcate, abaxially prominent, sometimes terminating in a tiny gland: secondary veins prominulous on both surfaces: tertiary veins reticulated, prominulous adaxially, nearly plane to prominulous abaxially; margins plane to shortly revolute; stem leaves with persistence unknown, elliptic to obovate, 5.5-23.1 * 2.6-8.8 em, L/W 2.0-4.1, at apex obtuse to rounded, at base truncate to cuneate; secondary veins 4 to 11 pairs, with intramarginal vein situated 2—4 mm from margin; leaves at branchlet apices with persistence unknown, oblanceolate to obovate, 7.2-33.0 X 3.09.4 em, L/W 2.3-4.8, at apex shortly and acutely or obtusely acuminate to obtuse or rounded, at base attenuate or abruptly narrowly contracted (i.e., pseudopetiolate); secondary veins 7 to 16 pairs, with intramarginal vein situated 2-4 mm from margin. Inflorescence lax, paniculate, lateral or subterminal among leaves at apices of branchlets, along peduncle and primary axis occasionally with hooks (e.g.. Jones & Onochie in FHI 16641, P) or bracteal leaves similar to adult stem leaves (e.g., Gereau et al, 5603, MO); peduncle 1.5-8.0 cm long, straight; branched portion corymbiform, 5—15 X 12-20 em, dichotomously branched; bracts triangular-ovate, 0.8-1.6 X 0.5-1.0 mm, at apex acute to obtuse, at base obtuse, marginally entire, abaxially with a discoid gland covering ca. % the surface, occasionally also with | or 2 poorly defined pits near base: pedicels 2-5 mm long. Flowers all pedicellate; sepals 5, oblong to elliptic-oblong, rounded and entire at apex, at base truncate and shortly decurrent on ovary, light green tinged red-purple, abaxially sometimes with 1 to 4 pit-like glands, adaxially with small pits, unequal, larger 3 sepals 3.5-5.1 X 1.4— 2.5 mm, shorter 2 sepals 3.2-4.2 X 2.0-2.9 mm: petals 5, imbricate, oblong-obovate, pale yellow tinged pink, ca. 8.1 X 3.2 mm; stamens 10 in 2 whorls; filaments slender, a little dimorphic, the shorter ca. 4.5 mm long, the longer ca. 5.0 mm long; anthers 0.8-1.0 mm long; ovary ca. % inferior, 1-2 mm long; styles 3, ca. 5 mm long, stigmas ca.
0.4 X 0.9 mm. Fruit turbinate: nut 5-8 X 3-6 mm, on sides longitudinally shallowly 5-ridged by decurrent margins of accrescent sepals; persistent sepal limbs spreading, papyraceous, dark red, unequal, the larger spathulate to oblanceolate, 28—42 * 13-16 mm, the smaller oblong-spathulate, (5—) 12-16 X (4—)5-6 mm; pericarp drying brown, coriaceous: seed not seen.",1
"The name Ancistrocladus guineensis has been widely applied by previous authors to plants belonging to various other species, but in particular to plants treated here as A. barteri. Part of the confusion may be due to the specific epithet, which in the modern usage of “Guinea” suggests that this name applies to plants from West Africa. However, the type of A. guineensis is from eastern Nigeria, and its range extends from there into Cameroon and Gabon. Ancistrocladus guineensis and A, barteri are similar in many features, and further study may show these taxa to represent extremes of continuous variation. However, there do appear to be some differences between them, as outlined in the Key to Species above and discussed under A. barteri, and they also appear to have disjunct ranges and therefore are provisionally separated here.",0
"Ancistrocladus uncinatus has long been separated from A. guineensis based on its smaller leaves, said by previous authors to be variously “6-8 cm long” (Hutchinson & Dalziel, 1927: 196) or “under 8 cm long” (Airy Shaw, 1950: 149). Some leaves on the isotype of A. uncinatus (BM!) are as small as this, but others range to significantly larger. When these larger leaf measurements are included in the description of A, uncinatus, no differences are evident between this and A. guineensis. The isotype of A.
uncinatus bears an inflorescence fragment with the ultimate axes becoming racemiform, as in A, gutThis matches those of A. guineensis except it is about neensis, and one detached flower. flower 20% smaller. However, this flower appears to be very shriveled and its measurements, therefore, are not completely reliable. Although Cheek (2000: 873) reported the petals as tomentose on the outer surface, this condition is not evident on the isotype.
The leaves on the type collection of A. uncinatus are distinctive in being markedly narrowed toward the base, which gives it at first glance a different general appearance from most collections of A. guineensis; however, this distinctive shape is also found on occasional specimens of A. guineensis and A. barteri, and does not seem to be taxonomically informative.",0
"Selected specimens studied. CAMEROON. Littoral: Waouri Div., 40 km E of Douala on hwy. to Edéa, 3°57'N, 10°00'E, Gereau et al. 5603 (MO, SCA, YA). GABON.
Moyen-Ogooué: 42 km SE of Lambaréné, border of rivulet of Mamiengue River, 1°S, 1L0°28'E, Breteler 5719 (WAG). NIGERIA. Kwara: Omo, Jones & Onochie in F:H.1. 16641 (P). Ogun: Ijebu Province. Shasha For. Res., Richards 3151 (BM, MO).",0
"Juvenile plants unknown. Juvenile leaves unknown. Adult stems climbing with height not noted, to 1 em diam. [probably becoming larger but no data], with bark purplish brown, smooth to roughened, bearing some scattered leaves and also lateral branchlets to 30 cm long, these each bearing | to several hooks and sometimes a terminal rosette of leaves; hooks recurved to spiraling, 11-17 mm diam. Adult leaves drying papyraceous to chartaceous, on both surfaces shiny, in life not seen, drying discolorous, dark brown above. paler brown or yellow-brown below; pits dimorphic, small pits frequent on both surfaces though usually denser on adaxial surface, large pits 0.4-0.5 mm diam., circular, occasional on adaxial surface; midrib adaxially shallowly sulcate, abaxially prominent, terminating in a tiny gland: secondary veins prominulous on both surfaces; tertiary veins reticulated and prominulous on both surfaces; margins plane to narrowly revolute; stem leaves with persistence unknown, elliptic to oblong or oblanceolate, sometimes falcate, 7.1-29.3 2.1-7.3 cm, L/W 3.4-5.6, at apex acute to rounded, at base cuneate to acute; secondary veins 10 to 18 pairs: leaves at branchlet apices with persistence unknown, elliptic, (8.0-)14.5-33.1 X (2.9-)4.6-8.5 em, L/W 3.2-0.0, at apex acute to rounded and sometimes abruptly shortly acuminate, at base narrowly cuneate to long-attenuate; secondary veins 15 to 19 pairs, with intramarginal vein situated 1-2 mm from margin.
Inflorescence lax, paniculate, lateral among leaves at apices of branchlets, occasionally bearing hooks.
without bracteal leaves: peduncle 1.2-2.2 cm long, often flexuous; branched portion corymbiform, 7.0— 8.5 X 4.5-5.0 em, dichotomously branched: bracts triangular, 0.7 < 0.4—0.6 mm, at apex acute, al base obtuse, marginally entire to erose at apex, abaxially eglandular; pedicels ca. 2.0 mm_ long.
Flowers all shortly pedicellate [not seen; this de-",1
"2005 Revision of Ancistrocladus cence bracts eglandular; pedicels 5-12 mm long; petals convolute, 5-7 mm long; filaments 1.0— 2.0 mm long; styles ca. 3 mm long; plants of coastal Kenya .... 14. A. robertsoniorum J. Léonard 3b. Fruit with nut body 10-12 * 9-12 mm, with smaller accrescent sepals 11-30 mm long.
5a. Branchlet leaves oblanceolate, with L/W 2.9-4..2; inflorescence with peduncle 4.0-13.0 cm long, branched portion 7-16 X 12-20 em, bracts 0.5—1.0 mm long, abaxially eglandular; plants of Nigeria and Cameroon ..............202-200055 11. A. korupensis D. W. Thomas & Gereau 5b. Branchlet leaves oblanceolate to narrowly so, with L/W 4.0—5.8; inflorescence with peduncle 1.1— 3.5 em long, branched portion 3.5-8.0 * 6-11 cm, bracts 1.1-1.8 mm long, abaxially with a gland occupying 4—% of surface; plants of Tanzania .... 2... 15. A. tanzaniensis Cheek & Frim.
2b, External sepals with | to 6 abaxial glands (visible in flower and young fruit).
6a. Inflorescence subcapitate to congested-cymose, solitary, apparently terminal, subsessile or with peduncle to 0.5 em long ...........20002000005 la. A. abbreviatus Airy Shaw subsp. abbreviatus 6b. Inflorescence paniculate to corymbiform with ultimate axes sometimes racemiform, solitary to several, lateral, subterminal or apparently terminal, with peduncle 1-13 cm long.",1
"7a. Sepals distinctly unequal in size in flower and fruit, with three larger and two smaller.
8a. Sepals 4 or 5, in flower [6.5—9.0]9.5-14.2 mm long; petals 4 or 5, in flower [9.0—]9.5—12.0 0008 (0) 1) eee ee re eee ee ee 6. A. grandiflorus Cheek 8b. Sepals 5, in flower 2.5-6.0 mm long: petals 5, in flower 2-10 mm long.",0
"10a. Branchlet leaves oblanceolate, with L/W 2.94.2; inflorescence with peduncle 4.0— 13.0 cm long, branched portion 7-16 * 12-20 cm, bracts 0.5—-1.0 mm long, abaxially eglandular; fruiting sepals chartaceous to papyraceous; plants of Nigeria and Cameroon .........0-000200000811. A. korupensis D. W. Thomas & Gereau 10b. Branchlet leaves oblanceolate to narrowly so, with L/W 4.0—5.8; inflorescence with peduncle 1.1-3.5 em long, branched portion 3.5-8.0 X 6-11 cm, bracts 1.1-1.8 mm long, abaxially with a gland occupying 4%—% of surface; fruiting sepals subcoriaceous; plants of Tanzania ............. 15. A. tanzaniensis Cheek & Frim.
7b. Sepals equal to subequal and continuously grading in size in flower and fruit.
lla. Peduncle 1.0-2.1 em long.",0
"12a. Branchlet leaves very shortly and obtusely acuminate to rounded at apex; petals 6— 10 mm long; styles 3; fruit with nut body 8-15 * 10-15 mm; plants of Nigeria .. .
LW 6 OEM EMER OE HE Ha Be ES lb. A. abbreviatus Airy Shaw subsp. lateralis Gereau 12b. Branchlet leaves usually acute to long-acuminate at apex; petals 2-3 mm long: style 1; fruit with nut body 4-5 * 7-8 mm: plants of Central Africa... ........
EMER ER AR ERED ERED EERO ERE Eee ewer eens » O A, calaonsis J. Léonard l1b. Peduncle 2.2-11.0 em long.",0
"15a. Branchlet leaves narrowly elliptic to elliptic-oblong or oblanceolate, with L/W 2.5-4.5, at apex usually acute to long-acuminate, with intramarginal vein situated 3-7 mm from margin; inflorescence with branched portion 3-6 cm long, bracts without pits; sepals 2.5-5.0 * 2.0-3.0 mm: petals 23 X 2-3 mm; filaments weakly dimorphic, the shorter 0.5—0.7 mm long, the longer 0.8-1.0 mm long; anthers ca. 0.5 mm long; style 1.0-1.5 mm long; fruit with nut body 4-5 X 7-8 mm, with slender low ridges and the sides otherwise flat or gently concave... 2.2... 5. A. ealaensis J. Léonard 15b. Branchlet leaves obovate, with L/W 2.1-3.5, at apex obtuse to rounded and sometimes abruptly shortly acuminate, with intramarginal vein situated 1-3 mm from margin; inflorescence with branched portion 6—24 cm long, bracts with 1 or usually 2 pits on each side; sepals 5.0-9.0 * 3.0— 6.0 mm; petals 3-4 X 3-4 mm; filaments strongly dimorphic, the shorter ca. 0.4 mm long, the longer ca. 1.2 mm long; anthers ca. 1.0 mm long; style 2.0-3.0 mm long; fruit with nut body 10-18 * 12-18 mm, with markedly thickened ridges enclosing deeply sculpted sides ......",1
"Young branches subcompressed, canescent. Leaves 6 by 4 in., glabrous on both surfaces, lateral nerves about 13 pairs; petivle 2-24 in.,; stipules canescent. Lacemes 3-4flowered. Calya-tube in fruit 2-3 in. long; fruit-wings (calyx-lobes) 54-6 by 1-12 in., linear-spathulate, obtuse, sparingly reticulate, uneilarged lobes broadly deltoid.—Distinguished from D. pterygocalyx by the distinctly 3-nerved calyx-wings, and the unenlarged calyx-lobes not being contracted at the base. D. Motleyanus, Hook. f., from Borneo, is closely allied.",0
"Smooth climbing shrubs with short supra-axillary often arrested and circinately hooked branches. Leaves usually in terminal tufts, coriaceous, entire, reticulately feather-veined ; stipules small, caducous or inconspicuous. lowers usually small, very caducous, in terminal or lateral panicles. Calyx-tube at first very short, adnate to the base of the ovary with imbricate lobes, finally turbinate and adnate to the fruit with the lobes unequally enlarged, spreading and membranous. Stamens 5 or 10, subperigynous. Ovary 1-celled, inferior ; styles 3, articulated to a rounded or shortly cylindrical epigynous disk ; ovule solitary, erect or laterally affixed.
Seed subglobose, testa prolonged into the ruminations of the copious fleshy albumen ; embryo short, straight ; cotyledons short, divergent.—DIsTRIB.
Except A. guineensis in W. Tropical Africa confined to Tropical Asia and the Indian Archipelago, Species about 10.",1
"like. Petals dilated above, 2-fid or retuse. Stamens indefinite; anthers narrow-linear, unappendaged ; valves equal, dehiscing longitudinally near the apex. Ovary 1-celled, elongate-conical; style shortly 2-fid with patent recurved lobes; ovules about 8-12 on a free central column, erect. Nut oblong, tapering above, l-seeded. Seed erect. Cotyledons fleshy, connate nearly throughout, narrow-oblong, radicle very shortly exserted, inferior.—A large tree. Leaves elongate, rather coriaceous, entire, narrowed to the base, with numerous parallel lateral veins, glabrous. Stipules minute, triangular, caducous. Flowers in terminal pyramidal panicles.",1
"1. L. alata, Banks in Gaertn. Fruct. iii. 32. t. 188. Leaves elongateoblanceolate, usually obtuse, emarginate or retuse, often more or less crispateundulate, narrowed to the base, 8-30 in. long, 2—5 in. broad ; petiole varying up to 24 in., often very short or leaves subsessile. Flowers white (Manz), yellow (Guill. et Perr.), about 1-14 in. across. Larger wing of the fruit erect, coriaceous, broadly oblong-lanceolate or obliquely linearoblong, 3-45 in. long, with longitudinal anastomosing usually obscure nerves, “ crimson (Barter). Nut about 1-13 in. long.—Guill. et Perr. Fl. Seneg. t. 24. L.
simplex, Don, Gen. Syst. i. 814.
wee Guinea. Senegambia! Sierra Leone, Don; Niger, Barter! Ambas Bay, ann !",1
"Calyx deeply 5-partite or sepals free, imbricate in estivation ; lobes enlarged in fruit, unequal. Stamens 5-10, perigynous; filaments free of shortly connate or adnate to the base of the petals ; anthers 2-celled ; valves equal or rather unequal. Ovary 1-celled, inferior, with a solitary erect OF laterally affixed ovule, crowned by the shortly cylindrical elevated fleshy disk bearing 8 articulated styles ; stigmas (terminal in the African species). Fruit adnate to the turbinate calyx-tube, surmounted by the enlarged wings (calyxlobes). Seed subglobose. Embryo straight, clavate; cotyledons subfoliaceous, divergent. Albumen fleshy, in closely folded convolutions.—Climbing glabrous shrubs ; branches usually furnished with hooks. Leaves entire oF denticulate, rather coriaceous, penniveined. Panicles terminal with divatcate often recurved branches.",1
"A small genus confined to tropical Asia and the Archipelago, with the exception of the following. 4. guineensis is very nearly allied to Malayan species, but of none of the Asiatic species have I had the opportunity of examining well-developed flowers, and I believe the discrepancy between the description of the pistil as given above and in the Gen. Plantarum as due to the circumstance that imperfect drawings or descriptions were relied upon in Pe paring the latter. We have numerous good flowers of the African species but no fruits, and the description of the embryo I have borrowed from Mr. Thwaites’ careful account = it (Linn. Trans. xxi. 225).",0
"Smooth climbing shrubs with short supra-axillary, often arrested and circinately-hooked, branches. Jieaves usually in terminal tufts, coriaceous, entire, reticulately feather-veined; exstipulate. Flowers usually small, very caducous, in terminal or lateral panicles. Calyxtube at first short, adnate to the base of the ovary, its lobes imbricate, finally turbinate and adnate to the fruit, with the lobes unequally enlarged, spreading and membranous. Stamens 5 or 10, subperigynous.
Ovary 1-celled, inferior; style sub-globose, persistent; Stigmas 3, erect, compressed, truncate, deciduous. Ovule solitary, erect or laterally affixed. Seed sub-globose, testa prolonged into the ruminations of the copious fleshy albumen; embryo short, straight; cotyledons short, divergent.—Disrris. Except A. guineensis in W. Tropical Africa, confined to Tropical Asia and the Indian Archipelago, Species about 10.",1
"I follow the authors of the Genera Plantarum and the Flora of British India in including Ancistrocladus in Dipterocarpex. I venture, however, to think that it would be better to keep it as the type of a distinct Natural Order as MM. Planchon and De Candolle have done: for its characters do not fit well into the diagnosis of any other Order 1. ANcIsTROCLADUS EXTENSUS, Wall. Cat. 1052. Leaves obovate or obovate-oblong, blunt or sub-acute, much narrowed at the base; panicles dichotomous, about half as long as the leaves: fruit smooth or slightly 5-ridged ; accrescent calyx-lobes oblanceolate, obtuse. Planch, in Amn, Se. Nat. ser. 3, XIII, (318. DC. Rrodr. MYVI, 2; 602; Dyer in Hook. fil. Fl. Br. Ind. J, 299. Ancistrolobus sp. Griff. Notul. LV, 568, t. 605. fig. 2.",0
"I should have described this as a new species were it not for the very wide distribution according to Professor Oliver, who includes under this name two Abyssinian forms described as different species by Hochstetter, a Zambesi form specifically described by Klotzsch, as well as a Niger plant, Barter, no. 1198.",0
"Paniculi dichotomi 18 em. longi et 12 cm. lati; ramulis versus apicem, flores 7-10 spicatas ferentibus ; pedicellis crebris sub flore articulatis circa 2 mm.; bracteis ovatis obtusis circa 2 mm. ; calycis lobis inzequalibus ovatis vel oblongis obtusis glabris, in flore circa 4 mm. long. et 2 mm. lat., in fructu 8 mm. longis ; petalis oblongis orbicularibus obtusis 6 mm. long. et 5 mm. lat.",0
