taxon,description
Leersia oryzoides,"

Rhizomatous perennial; culms up to 1.5 m long, decumbent and sprawling, rooting at the nodes, the terminal portion erect, glabrous or somewhat scabrid-hispid near the nodes, the nodes pubescent. Leaf-blades up to 30 cm long and 1.5 cm wide, coarsely scabrid on both surfaces, often retrorsely hispid along the margins and midrib; ligule truncate, 0.5-1 mm long; sheaths scabrid and often hispidulose between the nerves. Panicle ovate or narrowly ovate, up to 30 cm long, exserted or included. Spikelets elliptic to linear, 4.5-7.5 (-8) mm long; lemma and palea glabrous or ciliate on the keels, glabrous or shortly pubescent on the body. especially along the nerves; stamens 3."
Alopecurus aequalis,"A ± tufted,  annual, biennial or short lived perennial 10-35 cm. Culms usually ascending from a geniculate base, sometimes rooting at the nodes, slender, smooth, few to many noded, whitish green towards the panicle. Lvs hairless; sheaths smooth, glaucous, the upper whitish green,  inflated; ligule to 5 mm, ± truncate and torn; blades 2-10 cm by 2-5 mm, flat, scabrid above, smooth beneath, finely nerved. Panicle 1-5 cm, dense, narrowly cyindrical, obtuse, pale or grey-green or bluish; spikelets 1-2.5 mm, ovate, elliptic or oblong, 1 flowered; glumes similar free nearly to base, snarrowly oblong, blunt, thinly membranaceous, 3-nerved with a fringe of silky hairs on the keels and shorter ones on the sides, margins hyaline to the base; lemmaelliptic, obtuse, margins connate to the middle; awn from just below the middle, straight, slightly exceeding lemma;  Palea absent; Anthers 1-1.3 mm, white, later orange."
Alopecurus aequalis,"

Annual, loosely tufted. Culms weak, geniculately ascending, occasionally rooting and branching from lower nodes, 15–40 cm tall. Leaf sheaths smooth, glabrous, slightly inflated; leaf blades light green, soft, 3–10 cm, 2–6 mm wide, abaxial surface smooth, glabrous, adaxial surface closely ribbed, scaberulous; ligule 2–5 mm. Panicle narrowly cylindrical, 2–7 cm, pale gray-green. Spikelets elliptic or oblong, 2–3 mm; glumes membranous, smooth, keels ciliate-hispid, lateral veins hispid on lower part, margins connate at base, apices obtuse; lemma equaling or slightly longer than glumes, margins connate below middle, awned from lower 1/4–1/3, apex obtuse; awn included within spikelet or exserted up to 1.2 mm, straight. Anthers orange, 0.5–0.8 mm. Fl. and fr. Apr–Aug. 2n = 14.


This is a widespread, semi-aquatic weed of N temperate regions of the world, now introduced to Australia and elsewhere.

East Asian forms tend to have more obvious awns than usual, perhaps due to introgression from Alopecurus longearistatus. Alopecurus amurensis and A. aristulatus are both based on such forms. A form from South America with glabrous glumes has been separated as A. hitchcockii Parodi. A specimen of this species has been found on waste ground in Chengdu, Sichuan."
Alopecurus aequalis,"

Annual or short-lived perennial; culms 10-45 cm high, geniculately ascending and sometimes rooting from the lower nodes. Leaf-blades 2-10 cm long, 2-5 mm wide, glabrous; upper sheaths slightly inflated; ligule 2-5 mm long, obtuse. Panicle 1-6.5 cm long, 3-6 mm wide, cylindrical. Spikelets 1.5-3 mm long; glumes obtuse, ± parallel at the tips, connate at the base, wingless, ciliate on the keel, shortly hairy on the sides; lemma as long as or very slightly longer than the glumes, obtuse, the margins connate for a third to half their length; awn not or only slightly exceeding the lemma tip; anthers 0.8-13 mm long."
Ranunculus sceleratus,"An erect, much branched annual or overwintering herb; roots fibrous; stem 20-60 cm, stout erect  hollow branched above, ± glabrous, furrowed. Lower lvs long-stalked, reniform or pentagonal in outline, ± deeply palmately 3-lobed, the lateral lobes often again 2-3 lobed, all crenate; stem lvs short stalked, more deeply divided into narrower segments, the uppermost sessile,  with 3 or fewer entire segments; lower lvs ± glabrous, shining, uppermost slightly hairy below. Fls 5-10 mm diam, numerous in branching cymes, their stalks glabrous, furrowed. Sepals reflexed, hairy below. Petals narrowly ovate, hardly exceeding the sepals, pale yellow, the open nectary surroundind by its scale. Receptacle slightly hairy.  Achenes very numerous (70-100) c 1 mm, roundish, compressed, glabrous, each face with a faintly wrinkled central area; the head of ripe achenes oblong-ovoid.  Protogynous. "
Ranunculus sceleratus,"

Stems  erect, glabrous, rooting at base, only very rarely rooting at proximal nodes.  Leaves  basal and cauline, basal and proximal cauline leaf blades reniform to semicircular in outline, 3-lobed or -parted, 1-5 × 1.6-6.8 cm, base truncate to cordate, segments usually again lobed or parted, sometimes undivided, margins crenate or crenate-lobulate, apex rounded or occasionally obtuse.  Flowers:  receptacle pubescent or glabrous; sepals 3-5, reflexed from or near base, 2-5 × 1-3 mm, glabrous or sparsely hirsute; petals 3-5, 2-5 × 1-3 mm; nectary on petal surface, scale poorly developed and forming crescent-shaped or circular ridge surrounding but not covering nectary; style absent.  Heads of achenes  ellipsoid or cylindric heads, 5-13 × 3-7 mm; achenes 1-1.2 × 0.8-1 mm, glabrous; beak deltate, usually straight, 0.1 mm."
Ranunculus sceleratus,"

Herbs annual. Roots fibrous, subequally thick. Stems 10--75 cm, glabrous or sparsely puberulent, branched above. Basal leaves 5--13; petiole 1.2--15 cm, subglabrous or sparsely pubescent; blade 3-partite, pentagonal, reniform, or broadly ovate, or broadly ovate, 1--4 × 1.5--5 cm, papery or herbaceous, glabrous or abaxially puberulent, base broadly cordate, central lobe cuneate or rhombic, 3-lobed, lobules 1- or 2-denticulate or entire; lateral lobes obliquely broadly obovate or obliquely cuneate, unequally 2-lobed or 2-cleft to middle. Lower stem leaves similar to basal ones; upper stem leaves short petiolate, cuneate at base, 3-sect, segments oblanceolate. Compound monochasi um terminal, corymbose; bracts leaflike. Flowers 0.4--0.8 cm in diam. Pedicel 0.5--1.5 cm, glabrous or sparsely puberulent. Reeptacle puberulent or glabrous. Sepals 5, ovate-elliptic, 2--3 mm, abaxially appressed puberulent or glabrous. Petals 5, obovate, 2.2--4.5 × 1.4--2.4 mm, nectary pit without a scale, apex rounded. Stamens 10--19; anthers ellipsoid. Aggregate fruit cylindric, 3--11 × 1.5--4 mm; carpels numerous. Achene slightly bilaterally compressed, obliquely obovoid, 1--1.1 × 0.8--1 mm, glabrous, sometimes transversely 2- or 3-rugose, somewhat turgid along sutures; stigmas persistent, ca. 0.1 mm. Fl. Jan--Jul."
Ranunculus sceleratus,"

Annual (or biennial?), stout, erect, ± glabrous. Stem sulcate, hollow, often much branched. Leaves petiolate, basal leaves 3-lobed or 3-partite, lateral lobes sometimes deeply bilobed again, lobes irregularly shallowly crenate. Upper stem leaves sessile, 3-lobed, lobes linear-oblong, entire or ± deeply crenate to lobulate. Flowers numerous, 5-10 mm in diameter, yellow. Sepals pubescent outside, ovate, obtuse, deflexed, petals shorter than sepals, obovate. Achenes up to 1.3 mm, glabrous, smooth to rugose, dorsally keeled, arranged in an oblong to shortly cylindrical spike, attached to a sparsely ciliate elongated, spindle-shaped receptacle. Style very short, asymmetrically inserted, with an obtuse tip.


In the specimens from Pakistan, the receptacle is almost completely glabrous. Apart from this character no other morphological differences are present between the European and Pakistani populations."
Potamogeton perfoliatus,"A rhizomatous aquatic perennial. Rhizomes creeping. Turions formed on stolons. Lfy stems 50-200(-300) cm, usually stout, terete,  branched above. Submerged lvs blade 2-6(-10) x 1.3-4(-6) cm, ovate, lanceolate to orbicular, obtuse or mucronate, often ± hooded, denticulate, all sessile completely amplexicaul at the wide, cordate base, very thin, translucent;  strong longitudinal  veins  5-7 with fainter intermediate veins.  Floating lvs 0; Stipules 1 cm,  blunt, not  keeled, very delicate and soon disappearing, or persisting where lvs opposite.  Infl bractless,  dense,  cylindrical, stout spikes, often with many aborted fr. Fls inconspicuous, hermaphrodite, actinomorphic, hypogynous. Per segs 4; stamens 4, sessile on the claws or the per segs; carpels free; stigma ± sessile. Fr spike 1-3 cm, stalk 3.5-10(-13) cm, fairly stout,  not widened upwards.  Fr 3.5-4 x  2.5-3 mm,   hardly compressed,  olive-green; ventral side  concave below, convex above, dorsal   semicircular, obscurely keeled with faint lateral ridges. "
Potamogeton perfoliatus,"

Rhizomes present. Cauline stems terete, without spots, to 250 cm; nodal glands absent. Turions absent. Leaves submersed, ± spirally arranged, sessile, lax; stipules deteriorating into fibers and deciduous, inconspicuous (absent on proximal portion of stem), convolute, free from blade, light brown to green, not ligulate, 3.5--6.5 cm, not fibrous, not shredding at apex; blade olive-green, broadly lanceolate, orbiculate, or ovate, not arcuate, 0.9--7.6(--9.7) cm ´ 7--40 mm, base rounded, without basal lobes, clasping, margins entire, often crispate, apex not hoodlike, not splitting when pressed, round, rarely acute; veins 3--25. Inflorescences unbranched, emersed; peduncles not dimorphic, terminal or axillary, erect to rarely recurved, cylindric, 1--7.3 cm; spike not dimorphic, cylindric, 0.4--4.8 cm. Fruits sessile, greenish brown to olive-green, obovoid, turgid or rarely concave, not abaxially or laterally keeled, 1.6--3 ´ 1.3--2.2 mm; beak erect, 0.4--0.6 mm; sides without basal tubercles; embryo with 1 full spiral. 2n = 52."
Potamogeton perfoliatus,"

Plants perennial, submerged in fresh water. Rhizome unspotted, terete, slender. Stems terete, 0.5-2.5 mm in diam., densely branched at upper part. Stipules axillary, convolute, 3-22 mm, membranous, evanescent; leaves sessile, lanceolate to broadly ovate, orbicular-ovate, or ovate-oblong, 3-5-veined, with narrow rows of lacunae bordering midvein, base cordate and amplexicaul, margin minutely denticulate, apex obtuse or rounded. Spikes usually contiguous and cylindric, with 4-7 whorls of opposite flowers; peduncles 2-11 cm. Carpels 4. Fruit obovoid, 2.5-4.5 mm, abaxial keels 3, with a slightly sharp midvein and 2 indistinct lateral keels, with a short beak at tip. Fl. and fr. May-Oct. 2n = 52."
Potamogeton perfoliatus,"

Rhizomatous aquatic. Stem branched or simple. Leaves submerged, sessile, lanceolate to orbicular, cordate-amplexicaul, size and shape variable 2-6 cm long, 1.5-2 (-2.5) cm broad, entire or minutely denticulate, rounded to obtuse at the apex, usually alternate below, opposite above, 2-7 (-13)-veined, thin, translucent. Stipules free, small, length variable, less than 1 cm long, soon evanescent. Spike 4-5 cm long, densely flowered. Fruitlets 2-3.5 mm long, 1.5-2 (-3) mm broad, beaked, ventral area convex, irregular or straight, beak more or less keeled.

Type: Habitat in Europae lacubus fluviisque argillosis (Sweden), Herb. Linn. no. 175/3 (LINN). "
Eleocharis acicularis," A slender, sparsely tufted, rhizomatous perennial 2-10(-20) cm. Rhizome creeping, brown. Stemsfew together, setaceous, 4-angled, rather stiff; sheaths brown, lfless; uppermost lf sheath acutely to obtusely oblique at apex.  Infl a single terminal, ovoid to narrowly cylindrical  spikelet (2.2-) 3-4(-7.5) mm, 4-11 fld. Glumes 1.5-2.5(-3) x 1-2 mm, up to 9(-15) per spikelet, ovate to ovate-lanceolate, obtuse, reddish-brown, midrib indistinct; lowest glume sterile, 1/2 as long as spikelet, ± fully encircling base. Bristles usually 3, deciduous. Stamens 3; anthers 1-1.2 mm. Stigmas 3, style 3-cleft.  Nut 1-1.4 mm, obovoid, obscurely trigonous, finely trabeculate with longitudinal ribs; swollen style-base small, separated from top of nut by deep groove. "
Eleocharis acicularis,"Needle spike-rush (spikesedge), éléocharide aciculaire  



Plants perennial; rhizomes 0.25–0.5 mm thick, internodes 5–15 mm, scales fugaceous, rarely evident, translucent, 2 mm.  Culms sometimes arching, smooth or 3–12-ridged, terete to sometimes distinctly compressed, 1–60 cm × 0.2–0.5(–0.7) mm, flaccid to rigid.  Leaves: distal leaf sheaths  persistent or fugaceous, proximally stramineous to red, distally colorless to stramineous or whitish, closely sheathing to prominently inflated, often splitting adaxially, apex rounded (to acute).  Spikelets ovoid to lanceoloid or subcylindric, 2–8 × 1–2 mm, apex acute; floral scales 4–25, 4–6 per mm of rachilla, bright reddish or purplish brown to stramineous, midrib region often green, ovate, 1.5–2.5(–3.5) × 1–1.5 mm, midrib prominent to obscure, apex blunt to acute.  Flowers: perianth bristles mostly absent, uncommonly 2–4, whitish to pale brownish, slender, obscurely retrorsely and spreading-spinulose, shorter than to equaling achene; stamens 3; anthers yellow to brown, 0.7–1.5 mm.  Achenes with angles plus longitudinal ridges ca. 8–12, obscure to prominent, narrowly to broadly obovoid to obpyriform, 2 times to much less than 2 times longer than wide, 0.7–1.1 × 0.35–0.6 mm, trabeculae 30–60, clearly evident to crowded and obscure, spaces between trabeculae sometimes translucent.  Tubercles gray to greenish or brownish, pyramidal to much depressed, (0.05–)0.1–0.2 × 0.15–0.25 mm.  2n = 20.

Eleocharis acicularis often forms large rooted mats or floating masses, which when submerged, are often non-flowering.  Submerged, usually nonflowering plants are abundant throughout much of the range of the species (H. K. Svenson 1929; P. E. Rothrock and R. H. Wagner 1975).  They have been called E. acicularis forma fluitans (Doellinger) Svenson; E. acicularis forma inundata Svenson; E. acicularis forma longicaulis (Desmazières) Hegi; E. acicularis forma submersa (Nilsson) Norman; and E. acicularis var. submersa (Nilsson) Svenson.  The culms of the submerged plants are terete, smooth, soft to flaccid, translucent, and the partitions of the air cavities within are clearly visible.  Submerged plants may closely resemble aquatic forms of some other species, especially Eleocharis parvula, E. robbinsii, and Schoenoplectus subterminalis (Torrey) Sojak (N. C. Fassett 1957; E. G. Voss 1967, 1972–1996, vol. 3).


Most plants from the Arctic to cool-temperate North America, including higher elevations in the Southwest, are very similar to plants from northern Europe and presumably belong to typical E. acicularis, which was described from Europe.  Those plants have culms cylindric or three- to four-angled; leaf sheaths mostly obscure and closely sheathing; and achenes about two times longer than wide.


Eleocharis acicularis var. gracilescens Svenson, type from St. Louis, Missouri, applies to plants with flowering culms unusually long (to 60 cm), smooth or sometimes with five to twelve fine ridges, their bases not cormlike; spikelets often linear-lanceoloid, often unusually long (to 8 mm); floral scales often unusually long (to 3.5 mm), often stramineous; and achenes much less than two times longer than wide.  Plants of E. acicularis var. gracilescens are probably usually emergent in shallow water; they are known from scattered collections from Alabama, Florida, Kansas, Missouri, North Dakota, Oklahoma, South Carolina, Tennessee, and Texas.  Robust plants of E. acicularis var. gracilescens are sometimes misidentified as E. wolfii.  H. K. Svenson (1957) stated that var. gracilescens may be distinct from E. acicularis.  Some specimens from California and Oregon that resemble E. acicularis var. gracilescens may be ecologic forms of E. acicularis var. occidentalis.


Eleocharis acicularis var. occidentalis Svenson, type from Santa Barbara, California (illustrated in H. L. Mason 1957; H. K. Svenson 1939, plate 539), applies to plants with culms only 2–6 cm, smooth or usually some prominently four-angled or finely to ca. eight-ridged, their bases often persistent, swollen, and cormlike (illustrated herein); distal leaf sheath summits mostly evident, often markedly inflated; achenes much less than two times longer than wide.  This variety often grows in vernal pools.  As here defined, it is known only from Arizona, California, and Nevada.  Most of the specimens H. K. Svenson (1929) cited in the protologue and identified on herbarium specimens as E. acicularis var. occidentalis are probably referable to typical E. acicularis.
"
Bolboschoenus maritimus," A stout glabrous perennial, 30-100 cm. Rhizome producing short runners, becoming wiry and black, tuberous at tip. Stems sharply triquetrous, rough towards top, lfy. Lvs to c 10 mm wide, keeled, margins rough.  Infl c 5 cm, dense, corymbose, terminal. Bracts 2-3, lf-like to setaceous, the larger much longer than infl, patent to reflexed. Spikelets 10-20(-40) mm, rather few, ovoid to ellipsoid, terete, red-brown, sessile or in groups or 2-5(-10) at the ends of branches.  Glumes 5-7 x 2.5-3.2 mm, ovate, acute, apex bifid, awned from the sinus to 1.7 mm, glabrous to sparsely pubescent, spirally arranged. Bristles shorter than nut, brown. Stamens 3, filaments flattened; anthers 3-5 mm. Stigmas (2-)3.  Nut 2.2-4 mm, broadly obovate from a cuneate base, plano-convex, brown, shiny, smooth. "
